<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAX-OLD,19960208,741.230904,807.230916,731.077056,776.769372,182216.63353637
MAX-OLD,19960209,776.769372,842.769384,776.769372,842.769384,104955.28394752
MAX-OLD,19960212,842.769384,893.538624,832.615536,883.384776,86105.2873748
MAX-OLD,19960213,888.4617,908.769396,878.307852,903.692472,58982.56503347
MAX-OLD,19960214,913.84632,974.769408,913.84632,974.769408,45332.56751529
MAX-OLD,19960215,984.923256,1005.230952,984.923256,1000.154028,38507.5687562
MAX-OLD,19960216,1010.307876,1015.3848,995.077104,1015.3848,16092.42131653
MAX-OLD,19960219,1015.3848,1076.307888,1015.3848,1066.15404,25271.20752645
MAX-OLD,19960220,1086.461736,1106.769432,1086.461736,1096.615584,24621.20764463
MAX-OLD,19960221,1106.769432,1157.538672,1106.769432,1157.538672,33140.14548967
MAX-OLD,19960222,1177.846368,1218.46176,1177.846368,1208.307912,61799.23118802
MAX-OLD,19960223,1208.307912,1248.923304,1157.538672,1248.923304,74109.83501033
MAX-OLD,19960226,1279.384848,1279.384848,1238.769456,1248.923304,26581.05577314
MAX-OLD,19960227,1259.077152,1279.384848,1228.615608,1279.384848,31239.38825951
MAX-OLD,19960228,1279.384848,1299.692544,1279.384848,1299.692544,13472.72482314
MAX-OLD,19960304,1299.692544,1309.846392,1299.692544,1309.846392,8627.27115868
MAX-OLD,19960305,1309.846392,1309.846392,1289.538696,1309.846392,16870.4514781
MAX-OLD,19960306,1299.692544,1309.846392,1279.384848,1289.538696,11857.57360165
MAX-OLD,19960307,1279.384848,1279.384848,1248.923304,1269.231,28531.0554186
MAX-OLD,19960308,1269.231,1299.692544,1269.231,1279.384848,12546.9674157
MAX-OLD,19960311,1248.923304,1259.077152,1238.769456,1248.923304,13689.39145041
MAX-OLD,19960312,1248.923304,1259.077152,1228.615608,1238.769456,3446.96907025
MAX-OLD,19960313,1238.769456,1238.769456,1157.538672,1188.000216,19224.23892893
MAX-OLD,19960314,1188.000216,1208.307912,1188.000216,1208.307912,4057.57501983
MAX-OLD,19960315,1208.307912,1238.769456,1208.307912,1228.615608,5239.39298678
MAX-OLD,19960318,1228.615608,1238.769456,1218.46176,1238.769456,2215.90868802
MAX-OLD,19960319,1248.923304,1279.384848,1248.923304,1279.384848,3456.81755331
MAX-OLD,19960320,1279.384848,1289.538696,1279.384848,1289.538696,3968.93867231
MAX-OLD,19960321,1289.538696,1299.692544,1279.384848,1289.538696,5515.1505124
MAX-OLD,19960322,1289.538696,1299.692544,1289.538696,1299.692544,3968.93867231
MAX-OLD,19960325,1309.846392,1340.307936,1309.846392,1320.00024,4293.93861322
MAX-OLD,19960326,1320.00024,1320.00024,1299.692544,1320.00024,5022.7263595
MAX-OLD,19960327,1309.846392,1320.00024,1289.538696,1309.846392,1260.60583141
MAX-OLD,19960328,1299.692544,1299.692544,1279.384848,1289.538696,3289.39334132
MAX-OLD,19960329,1289.538696,1299.692544,1279.384848,1289.538696,1615.15122149
MAX-OLD,19960401,1299.692544,1320.00024,1289.538696,1320.00024,3141.66609545
MAX-OLD,19960402,1320.00024,1320.00024,1279.384848,1289.538696,4195.45378264
MAX-OLD,19960403,1269.231,1309.846392,1269.231,1309.846392,7415.90774256
MAX-OLD,19960404,1299.692544,1309.846392,1289.538696,1309.846392,5820.45348719
MAX-OLD,19960405,1309.846392,1309.846392,1279.384848,1299.692544,1329.54521281
MAX-OLD,19960409,1299.692544,1299.692544,1279.384848,1289.538696,1359.09066198
MAX-OLD,19960410,1289.538696,1309.846392,1279.384848,1299.692544,7474.99864091
MAX-OLD,19960411,1299.692544,1309.846392,1289.538696,1309.846392,23813.63203389
MAX-OLD,19960416,1309.846392,1320.00024,1269.231,1309.846392,16141.66373182
MAX-OLD,19960417,1309.846392,1309.846392,1289.538696,1289.538696,6824.99875909
MAX-OLD,19960418,1289.538696,1320.00024,1289.538696,1309.846392,6647.72606405
